id,name,shortName,issuer,instrumentType,ref,issued,status,binds,deadlines,url,verifiedOn
"rbi-cyber-2026-commercial","Reserve Bank of India (Commercial Banks – Cybersecurity, Technology: Risk, Resilience and Assurance Framework) Directions, 2026","Commercial Banks","RBI","Directions","RBI/DoS/2026-27/410","2026-07-31","in-force","Banking companies other than Small Finance Banks, Payments Banks and Local Area Banks, together with corresponding new banks and the State Bank of India. Foreign banks operating through branches follow comply-or-explain on selected chapters.","","https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13643","2026-08-18"
"rbi-cyber-2026-sfb","Reserve Bank of India (Small Finance Banks – Cybersecurity, Technology: Risk, Resilience and Assurance Framework) Directions, 2026","Small Finance Banks","RBI","Directions","RBI/DoS/2026-27/419","2026-07-31","in-force","Small Finance Banks.","","https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13634","2026-08-19"
"rbi-cyber-2026-pb","Reserve Bank of India (Payments Banks – Cybersecurity, Technology: Risk, Resilience and Assurance Framework) Directions, 2026","Payments Banks","RBI","Directions","RBI/DoS/2026-27/428","2026-07-31","in-force","Payments Banks.","","https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13625","2026-08-19"
"rbi-cyber-2026-ucb","Reserve Bank of India (Urban Co-operative Banks – Cybersecurity, Technology: Risk, Resilience and Assurance Framework) Directions, 2026","Urban Co-operative Banks","RBI","Directions","RBI/DoS/2026-27/437","2026-07-31","in-force","Primary Co-operative Banks under section 5(ccv) read with section 56 of the Banking Regulation Act, 1949, graded into Levels I to IV by the digital services they offer.","","https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13616","2026-08-19"
"rbi-cyber-2026-aifi","Reserve Bank of India (All India Financial Institutions – Cybersecurity, Technology: Risk, Resilience and Assurance Framework) Directions, 2026","All India Financial Institutions","RBI","Directions","RBI/DoS/2026-27/456","2026-07-31","in-force","EXIM Bank, NABARD, SIDBI, NHB and NaBFID.","","https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13597","2026-08-19"
"rbi-cyber-2026-nbfc","Reserve Bank of India (Non-Banking Financial Companies – Cybersecurity, Technology: Risk, Resilience and Assurance Framework) Directions, 2026","Non-Banking Financial Companies","RBI","Directions","RBI/DoS/2026-27/461","2026-07-31","in-force","All NBFCs, with chapters applying by scale-based layer — Base, Middle, Upper and Top — and to Core Investment Companies.","","https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13592","2026-08-19"
"rbi-cyber-2026-cic","Reserve Bank of India (Credit Information Companies – Cybersecurity, Technology: Risk, Resilience and Assurance Framework) Directions, 2026","Credit Information Companies","RBI","Directions","RBI/DoS/2026-27/470","2026-07-31","in-force","Credit Information Companies as defined under clause (e) of section 2 of the Credit Information Companies (Regulation) Act, 2005.","","https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13583","2026-08-19"
"rbi-outsourcing-2025","Reserve Bank of India (Commercial Banks – Managing Risks in Outsourcing) Directions, 2025","RBI outsourcing Directions, 2025","RBI","Directions","RBI/DOR/2025-26/171","2025-11-28","in-force","Commercial banks. Immediate effect, with existing IT outsourcing agreements to comply by 10 April 2026. Repeals the 2023 Master Direction on Outsourcing of IT Services for the banks covered.","transition-end:2026-04-10:Existing IT outsourcing agreements to comply.","https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=13139","2026-08-19"
"rbi-outsourcing-nbfc-2025","Reserve Bank of India (Non-Banking Financial Companies – Managing Risks in Outsourcing) Directions, 2025","RBI NBFC outsourcing Directions, 2025","RBI","Directions","RBI/DOR/2025-26/363","2025-11-28","in-force","NBFCs across the scale-based layers, together with HFCs, CICs, standalone primary dealers and the account aggregator and P2P categories. Existing IT outsourcing agreements to comply by 10 April 2026.","transition-end:2026-04-10:Existing IT outsourcing agreements to comply.","https://www.rbi.org.in/scripts/BS_ViewMasDirections.aspx?id=12941","2026-08-19"
"sebi-cscrf","Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities","SEBI CSCRF","SEBI","Framework","SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113","2024-08-20","in-force","SEBI Regulated Entities across the securities market, graded as Market Infrastructure Institutions, Qualified REs, Mid-size REs, Small-size REs and Self-certification REs.","compliance:2025-08-31:Compliance deadline as twice extended, for every RE except MIIs, KRAs and QRTAs.","https://www.sebi.gov.in/legal/circulars/aug-2024/cybersecurity-and-cyber-resilience-framework-cscrf-for-sebi-regulated-entities-res-_85964.html","2026-08-19"
